GU979429.1,Euphorbia altaica
GU937804.1,Euphorbia squamosa
GU953743.1,Euphorbia dulcis
GU953741.1,Euphorbia alatavica
GU953742.1,Euphorbia epithymoides
GU953744.1,Euphorbia epithymoides
GU979428.1,Euphorbia eugeniae
GU979427.1,Euphorbia glabriflora
GU979432.1,Euphorbia palustris
GU979435.1,Euphorbia pilosa
GU979433.1,Euphorbia procera
GU979430.1,Euphorbia semivillosa
GU979436.1,Euphorbia stricta
GU979425.1,Euphorbia transoxana
GU979431.1,Euphorbia valdevillosocarpa
GU979426.1,Euphorbia condylocarpa
GU979437.1,Euphorbia helioscopia
GU979439.1,Euphorbia komaroviana
GU979440.1,Euphorbia rupestris
GU979438.1,Euphorbia sarawschanica
GU984329.1,Euphorbia humilis
GU984331.1,Euphorbia pannonica
GU984332.1,Euphorbia petrophila
GU984330.1,Euphorbia seguieriana
GU984333.1,Euphorbia stepposa
GU984326.1,Euphorbia craspedia
GU984327.1,Euphorbia rigida
GU984336.1,Euphorbia paralias
GU984323.1,Euphorbia alaica
GU984324.1,Euphorbia heteradena
GU984309.1,Euphorbia agraria
GU984319.1,Euphorbia borealis
GU984318.1,Euphorbia caesia
GU984308.1,Euphorbia dubovikiae
GU984311.1,Euphorbia esula
GU984312.1,Euphorbia esula
GU984313.1,Euphorbia esula
GU984310.1,Euphorbia iberica
GU984316.1,Euphorbia latifolia
GU984320.1,Euphorbia leptocaula
GU984307.1,Euphorbia lucida
GU984321.1,Euphorbia subtilis
GU984314.1,Euphorbia tshuiensis
GU984315.1,Euphorbia uralensis
GU984317.1,Euphorbia virgata
GU984304.1,Euphorbia characias
GU984305.1,Euphorbia macroceras
GU984306.1,Euphorbia oblongifolia
GU984334.1,Euphorbia deflexa
GU984335.1,Euphorbia portlandica
GU984325.1,Euphorbia exigua
GU984322.1,Euphorbia szovitsii
GU984337.1,Euphorbia taurinensis
GU984328.1,Euphorbia falcata
AF537554.1,Euphorbia acanthothamnos
AF537556.1,Euphorbia depauperata
EU659767.1,Euphorbia fauriei
EU659765.1,Euphorbia jolkinii
EU659771.1,Euphorbia lucorum
AF537555.1,Euphorbia oblongata
EU659764.1,Euphorbia orientalis
EU659766.1,Euphorbia pekinensis
AY594263.1,Euphorbia pekinensis
AF537557.1,Euphorbia pilosa
AF537553.1,Euphorbia alta
AM040775.1,Euphorbia helioscopia
AF537552.1,Euphorbia spathulata
AF537559.1,Euphorbia stricta
AF537551.1,Euphorbia myrsinites
AF537549.1,Euphorbia calyptrata
EU659753.1,Euphorbia sieboldiana
AF537547.1,Euphorbia discolor
AF537546.1,Euphorbia esula
EU659749.1,Euphorbia esula
EU659752.1,Euphorbia lunulata
EU659751.1,Euphorbia nakaii
EU659750.1,Euphorbia octoradiata
EU659756.1,Euphorbia virgata
AF537544.1,Euphorbia amygdaloides
AJ508964.1,Euphorbia emirnensis
AM040770.1,Euphorbia genistoides
AF537548.1,Euphorbia kraussiana
AF537535.1,Euphorbia medicaginea
AF537532.1,Euphorbia peplus
AF537543.1,Euphorbia turczaninowii
AF537536.1,Euphorbia megalatlantica
AF537540.1,Euphorbia aphylla
AF537542.1,Euphorbia atropurpurea
AF537539.1,Euphorbia dendroides
AF537558.1,Euphorbia longifolia
AF537541.1,Euphorbia regis-jubae
AF334247.1,Euphorbia stygiana
AF334262.1,Euphorbia stygiana
AF537550.1,Euphorbia lathyris
AF537533.1,Euphorbia robusta
AF537534.1,Euphorbia trichotoma
AF537538.1,Euphorbia usambarica
AF537531.1,Euphorbia mauritanica
AF537537.1,Euphorbia schimperi
AM040792.1,Euphorbia stolonifera
AM040757.1,Euphorbia antiquorum
AF537377.1,Euphorbia californica
AF537566.1,Euphorbia obesa
AF537580.1,Calycopeplus casuarinoides
AF537496.1,Euphorbia arbuscula
AF537568.1,Euphorbia atrispina
AF537446.1,Chamaesyce articulata
HQ900580.1,Euphorbia boetica
HQ900581.1,Euphorbia balsamifera
HQ900582.1,Euphorbia bariensis
HQ900583.1,Euphorbia barrelieri
HQ900584.1,Euphorbia berotica
HQ900585.1,Euphorbia berthelotii
AF537435.1,Euphorbia bilobata
AF537470.1 Monadenium elegans,
HQ900587.1,Euphorbia bourgaeana
HQ900588.1,Euphorbia bravoana
HQ900589.1,Euphorbia calamiformis
HQ900590.1,Euphorbia calyptrata
AF537574.1,Euphorbia caput-medusae
HQ900592.1,Euphorbia cashmeriana
HQ900593.1,Euphorbia cassia
HQ900594.1,Euphorbia ceratocarpa
AF537389.1,Euphorbia ceroderma
HQ900595.1,Euphorbia characias
AF537569.1,Euphorbia clava
HQ900596.1,Euphorbia clementei
HQ900597.1,Euphorbia ceratocarpa
AF537578.1,Euphorbia crotonoides
HQ900598.1,Euphorbia cyparissias
AF537393.1,Euphorbia delicatula
HQ900599.1,Euphorbia dendroides
AF537497.1,Euphorbia denisii
HQ900600.1,Euphorbia densa
HQ900601.1,Euphorbia denticulata
HQ900602.1,Euphorbia cf. uzmuk
HQ900603.1,Euphorbia dregeana
AF537480.1,Euphorbia drupifera
AF537575.1,Euphorbia esculenta
HQ900605.1,Euphorbia esula
HQ900606.1,Euphorbia exigua
HQ900607.1,Euphorbia falcata
HQ900608.1,Euphorbia flavicoma
HQ900609.1,Euphorbia fontqueriana
HQ900610.1,Euphorbia gossypina
AF537527.1,Euphorbia gregaria
AF537573.1,Euphorbia hallii
HQ900611.1,Euphorbia handiensis
HQ900612.1,Euphorbia helioscopia
HQ900613.1,Euphorbia herniariifolia
HQ900614.1,Euphorbia hirsuta
HQ900615.1,Euphorbia iberica
HQ900616.1,Euphorbia illirica
HQ900617.1,Euphorbia isatidifolia
HQ900618.1,Euphorbia lagascae
HQ900619.1,Euphorbia lamarckii
HQ900620.1,Euphorbia larica
HQ900621.1,Euphorbia lateriflora
HQ900622.1,Euphorbia lathyris
AF537577.1,Euphorbia longituberculosa
AF334252.1,Euphorbia margalidiana
AF334267.1,Euphorbia margalidiana
HQ900623.1,Euphorbia masirahensis
HQ900624.1,Euphorbia matritensis
HQ900625.1,Euphorbia mauritanica
HQ900626.1,Euphorbia medicaginea
AF537483.1,Euphorbia meenae
HQ900627.1,Euphorbia megalatlantica
HQ900628.1,Euphorbia mellifera
HQ900629.1,Euphorbia minuta
AF537384.1,Euphorbia misella
AF537563.1,Euphorbia monteiroi
HQ900630.1,Euphorbia myrsinites
AF537562.1,Euphorbia namuskluftensis
HQ900631.1,Euphorbia nereidum
JF279604.1,Euphorbia nevadensis
HQ900633.1,Euphorbia nicaeensis
HQ900634.1,Euphorbia nubica
AF537373.1,Euphorbia oaxacana
AF537560.1,Euphorbia omariana
HQ900635.1,Euphorbia orthoclada
HQ900636.1,Euphorbia oxyphylla
HQ900637.1,Euphorbia palustris
HQ900639.1,Euphorbia paniculata
HQ900638.1,Euphorbia paniculata subsp. monchiquensis
HQ900640.1,Euphorbia papilionum
HQ900641.1,Euphorbia paralias
HQ900642.1,Euphorbia pedroi
HQ900643.1,Euphorbia peplus
AF537512.1,Euphorbia phosphorea
HQ900644.1,Euphorbia piscatoria
HQ900645.1,Euphorbia pithyusa
AF537561.1,Euphorbia platycephala
HQ900646.1,Euphorbia platyphyllos
HQ900647.1,Euphorbia polygalifolia
HQ900648.1,Euphorbia pterococca
AF537432.1,Euphorbia pulcherrima
HQ900649.1,Euphorbia pyrenaica
HQ900650.1,Euphorbia regis-jubae
HQ900651.1,Euphorbia resinifera
HQ900652.1,Euphorbia retusa
AF537487.1,Euphorbia rubella
AF537399.1,Euphorbia rzedowskii
HQ900653.1,Euphorbia schimperi
HQ900654.1,Euphorbia segetalis
HQ900655.1,Euphorbia serrata
AF537545.1,Euphorbia lamprocarpa
HQ900578.1,Euphorbia coniosperma
HQ900656.2,Euphorbia spinosa
HQ900657.1,Euphorbia squamigera
AM040791.1,Euphorbia stenoclada
AF537403.1,Euphorbia succedanea
HQ900659.1,Euphorbia sulcata
HQ900660.1,Euphorbia sultan-hassei
HQ900661.1,Euphorbia terracina
AF537526.1,Euphorbia tetraptera
AF537479.1,Euphorbia tirucalli
AF537494.1,Pedilanthus tithymaloides
HQ900662.1,Euphorbia transtagana
AF537564.1,Euphorbia trichadenia
AF537570.1,Euphorbia tuberosa
AF537567.1,Euphorbia tubiglans
HQ900663.1,Euphorbia tuckeyana
HQ900664.1,Euphorbia uliginosa
HQ900665.1,Euphorbia usambarica
HQ900666.1,Euphorbia uzmuk
HQ900667.1,Euphorbia veneris
AF537467.1,Euphorbia xylophylloides
AF537586.1,Sapium sebiferum
JN250202.1,Euphorbia obesa
ON130591.1,Euphorbia antiquorum
